course_num,priority,coreq,prereq,prereq_and,prereq_or,bracket
1203,1,0,0,0,0,0
1421,1,1423,0,0,0,0
1423,1,1421,0,0,0,0
1513,1,0,0,0,0,0
2003,1,0,0,0,0,0
2443,3,0,1423,0,0,0
2493,1,0,1423,0,0,0
2513,2,0,0,0,0,0
3002,1,0,0,0,0,0
3013,3,0,0,0,0,0
3053,1,0,2493,0,2003,0
3103,10,0,2493,0,2003,0
3113,6,0,0,0,0,0
3313,3,0,2493,0,2003,0
3323,5,0,2493,0,2003,0
3353,6,0,0,0,0,0
3413,2,0,3053,0,0,0
3423,2,0,2493,0,2003,0
3441,2,3443,0,0,0,0
3443,2,3441,2443,0,0,0
3503,3,0,2443,0,2493,0
3513,3,0,1513,0,1423,0
3603,2,0,3423,0,0,0
3613,3,0,3503,0,0,0
3703,10,0,2493,0,2003,5443
3713,4,0,2513,0,0,0
3803,2,0,2493,0,2003,0
4303,7,0,2493,0,2003,0
4313,2,0,2493,0,2003,5413
4343,2,0,3423,0,0,0
4353,6,0,3353,0,0,0
4653,7,0,3423,4313,0,0
4483,6,0,3713,0,0,0
4513,7,0,3423,0,0,0
4533,4,0,0,0,0,0
4623,7,0,3423,0,0,0
4723,2,0,3053,0,4823,0
4803,10,0,3803,0,0,0
4823,4,0,2493,0,2003,0
5001,1,0,0,0,0,0
5011,1,0,0,0,0,0
5103,1,0,0,0,0,0
5123,2,0,0,0,0,0
5133,3,0,5123,0,0,0
5143,10,0,5123,0,0,0
5203,2,0,5103,0,0,0
5343,2,0,5123,0,0,0
5413,3,0,5103,0,0,4313
5423,3,0,5123,0,0,0
5443,10,0,5103,0,0,3703
5453,2,0,5443,0,0,0
5513,3,0,5103,0,0,0
5573,3,0,5103,0,0,0
5663,3,0,0,0,0,0
5673,3,0,5103,0,0,0
5683,10,0,5123,5673,0,0
5803,3,0,5203,0,0,0
5823,2,0,5103,0,0,0
5833,2,0,5203,0,0,0